Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,36MCDF,3 Year Fixed Rate Saver ,2000,1000000,Offline,36,Fixed,0.70%,0.70%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,24MCDF,2 Year Fixed Rate Saver,2000,1000000,Offline,24,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,12MCDF,1 Year Fixed Rate Saver,2000,1000000,Offline,12,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,6MCDF,6 Month Fixed Rate Saver ,2000,1000000,Offline,6,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Online Bonus Saver,1,50000,Offline,,Fixed,0.45%,0.45%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Online Bonus Saver,1,2000000,Offline,,Fixed,0.10%,0.10%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Premier Family Savings,1,,Offline,,Fixed,0.10%,0.10%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Premier Savings,1,,Offline,,Fixed,0.10%,0.10%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Flexible Saver,1,,Offline,,Fixed,0.05%,0.05%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Premier customers,1,,Offline,,Fixed,0.75%,0.75%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Advance customers,1,,Offline,,Fixed,0.65%,0.65%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,Loyalty Cash ISA - Current Account customers,1,,Offline,,Fixed,0.55%,0.55%,moneysupermarket.com
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Savings,_MSBF,HSBC UK ISA ,,,Offline,,Fixed,0.45%,,uk.deposits.org
 2018-04-10,UK,London,HSBC,HSBA,GBP,Bank,Deposits,Term Deposits,36MCDF,HSBC UK 3 Year Fixed Rate Bond,,,Offline,36,Fixed,0.70%,,uk.deposits.org
 2018-04-10,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Cash ISA Saver,1,,Offline,,Fixed,0.35%,0.35%,Bank website
 2018-04-10,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Monthly Saver,1,,Offline,,Fixed,0.03%,0.03%,Bank website
